|speaker|prev_text|prev_speaker|next_text|next_speaker|en_text|pl_text|dialog_prototype|default
433|Geralt|Interest you in a fritter?|Novigrad Trader 03|Greetings.|Novigrad Trader 03|Take care, now.|Bywaj.|Uważaj teraz.|Dbaj o siebie teraz.
434|Cirilla|Does that mean… you know which way to go?|Verden Girl 02|No. I never am.|Cirilla choice|Not quite, not yet. But I'm sure we'll find the way if we set off together.|Jeszcze nie, ale jak pójdziemy razem, na pewno coś wymyślimy.|Niezupełnie, jeszcze nie. Ale jestem pewna, że znajdziemy drogę, jeśli ruszymy razem.|Nie do końca, jeszcze nie teraz. Ale jestem pewien, że znajdziemy sposób, jeśli wyruszymy razem.
435|Geralt|Mhm. I suppose he had no idea they could interfere with my megascope?|Yennefer|You don't suppose he--? Lambert? Really? I'm flattered.|Yennefer|No, he probably knew… But that's the sort of prank you only pull on someone you like.|Zapewne się domyślał... Ale wiesz, co mówią. Kto się czubi, ten się lubi.|Nie, pewnie wiedział... Ale to taki żart, który robi się tylko komuś, kogo się lubi.|No, pewnie wiedział... Ale to taki rodzaj żartu, który robi się tylko komuś, kogo się lubi.
436|Verden Peasant 02|An evil spirit had possessed a tree on the hill. It was responsible for the killings.|Geralt|I'll look around the Whispering Hillock.|Geralt|How'd ye dispel this evil?|A jak żeście go przegnali?|Jak się pozbyłeś tego zła?|Jak się pozbyć tego zła?
437|Steingrim|You fight well, Steingrim.|Geralt|That how you want it? More blood? Fine. We'll make it a fight to the death…|Steingrim|One day I'll show you how I drink.|Kiedyś pokażę ci, jak piję.|Któregoś dnia pokażę ci, jak piję.|Pewnego dnia pokażę ci, jak piję.
438|Temerian Peasant 01|Slandering servants of the Eternal Fire and his majesty, was he?|Redanian Officer 01|||And how!|A jeszcze jak!|I tak!|A jakże!
439|Witch Hunter 03|Where are the mages?|Witch Hunter 02|Sent him ahead. They'll mount a full assault in a minute!|Witch Hunter 03|Don't be fooled!|Nie dajcie się zwieźć!|Nie daj się zwieść!|Nie daj się oszukać!
440|Skellige Girl 02|But can you toss an axe? Me brother can!|Skellige Girl 01|Wanna play hide-n-seek?|Skellige Girl 02|Heeey theeere!|Czee-eeść!|Hej tam!|Cześć tam!
441|Coroner|Choosing the lesser evil can be hard at times. Happen to know a thing or two about that.|Geralt|"""Patricia Vegelbud."""|Geralt|In that respect, this work has its benefits. I couldn't possibly hurt anyone here if I tried.|Dlatego ta praca ma swoje plusy. Tu nikogo już nie skrzywdzę, choćbym chciał.|W tym aspekcie ta praca ma swoje zalety. Nie mógłbym tu nikogo skrzywdzić, choćby nie wiem co.|W tym aspekcie ta praca ma swoje zalety. Nie mógłbym nikogo tutaj skrzywdzić, nawet gdybym próbował.
442|Cirilla|We'll hide you, cover your tracks…|Geralt|||No. I will flee no more.|Nie. Nie będę już uciekać.|Nie. Nie będę już uciekać.|Nie. Już nigdy więcej nie ucieknę.
443|Novigrad Prostitute 38|Hey.|Novigrad Prostitute 38|Hmmm?|Novigrad Prostitute 38|Hm?|Hm?|Hm?|Hm?
444|Novigrad Nobleman 01|Yes?|Novigrad Nobleman 01|I've heard ballads about you. And that sorceress of yours, Guinevere.|Novigrad Nobleman 01|You are the famed Geralt of Rivia, are you not?|Tyś sławny Geralt z Rivii, prawda?|Czyżbyś był sławnym Geraltem z Rivii?|Jesteś sławnym Geraltem z Rivii, czyż nie?
445|Patrick Hazelnutt|I can see that.|Geralt|Apologies, but I must focus my thoughts before the match.|Patrick Hazelnutt|This will certainly serve me better than your conversation with Sasha has served you. I'd be wary of her.|Na pewno lepiej na tym wyjdę niż ty na rozmowach z Saszą. Na twoim miejscu bym na nią uważał.|To z pewnością posłuży mi lepiej niż twoja rozmowa z Sashą służyła tobie. Byłbym ostrożny wobec niej.|To z pewnością posłuży mi lepiej niż twoja rozmowa z Saszą posłużyła tobie. Byłbym ostrożny wobec niej.
446|Geralt|Thank you for your help. That's the only way to deal with this rabble. They beg for trouble.|Novigrad Nobleman 03|I've come on business.|Novigrad Nobleman 03|And you're begging for trouble, just coming here at this hour. Especially dressed like that.|Ty też prosisz się o kłopoty, przychodząc tu o tej porze. Zwłaszcza w takim stroju.|I ty prosisz się o kłopoty, przychodząc tutaj o tej porze. Szczególnie tak ubrany.|I prosić się o kłopoty, przychodząc tutaj o tej porze. Szczególnie tak ubrany.
447|Avallach|It's simple… which does not mean it will be easy to execute.|Avallach|The Lodge must then prevent the ship from returning to the world of the Aen Elle, while the imperial fleet blocks its escape by sea.|Avallach|I shall activate the Sunstone. If Caranthir answers the call, the Naglfar should appear in the bay shortly afterwards.|Aktywuję Kamień Słoneczny. Jeśli Caranthir odpowie na wezwanie, po chwili Naglfar pojawi się w zatoce.|Jeśli Caranthir odpowie na wezwanie, Naglfar powinien pojawić się w zatoce krótko potem.|Uaktywnię Kamień Słońca. Jeśli Caranthir odpowie na wezwanie, Naglfar powinien pojawić się w zatoce krótko potem.
448|Crach|Between you and me… Hjalmar's not too hot-headed to be king?|Geralt|But Skellige wants a different ruler. The kind who'll drown Nilfgaard in blood, sooner jump into a fire than surrender. And that is Hjalmar.|Crach|Depends on the kind of king you have in mind. Want one who'll send emissaries, move figurines about a map, calculate the most profitable option. Then yes, he's too hot-headed.|Zależy, o jakim królu myślisz. Jeśli chodzi ci o takiego, co śle posłów, przesuwa figurki po mapach, rachuje, co mu się bardziej opłaca... To tak, jest zbyt porywczy.|To zależy od tego, jakiego króla masz na myśli. Chcesz takiego, który będzie wysyłać posłów, przesuwać figurki po mapie, obliczać najbardziej opłacalne opcje. Wtedy tak, jest zbyt porywczy.|Zależy od rodzaju króla, o jakim myślisz. Chcesz takiego, który będzie wysyłać posłańców, przestawiać pionki po mapie, obliczać najbardziej opłacalne opcje. Wtedy tak, jest zbyt porywczy.
449|Geralt|Ugh… I can't serve this to Yen…|Geralt|Wouldn't serve this to a dog.|Geralt|Might've added too many ingredients...|Chociaż trochę chyba przesadziłem z dodatkami...|Może dodałem za dużo składników...|Mogłem dodać za dużo składników...
450|Witch Hunter 04|||||He's conjurin'!|Czary!|On rzuca zaklęcie!|On czaruje!
451|Geralt|A death worthy of a Skelliger.|Yennefer|Arrows stuck in the side. The kind Faroe folk use.|Geralt|Clan emblem indicates a Dimun man. So he was from Faroe.|Insygnia klanowe wskazują na człowieka z Dimun. Czyli pochodził z Faroe.|Godło klanu wskazuje na mężczyznę z Dimun. Więc był z Faroe.|Godło klanu wskazuje na Dimuna. Więc pochodził z Wysp Owczych.
452|Geralt|||Too long. But the day will come when the emperor's banner will fly first over Novigrad, then over Tretogor. And we will all go home.|Nilfgaardian Officer 01|You look tired, quartermaster. Been stationed here long?|Wyglądacie na zmęczonych, kwatermistrzu. Długo już tu stacjonujecie?|Wyglądasz na zmęczonego, kwatermistrzu. Jak długo stacjonujesz tutaj?|Wyglądasz na zmęczonego, kwatermistrzu. Długo tu stacjonujesz?
453|Geralt|||Friendly? Nothing further from the truth. This racist here has demanded to search me! For no reason at all!|Elf Man 01|Rare sight - an elf and a guard of the Eternal Fire having a friendly chat…|Elf i strażnik Wiecznego Ognia pogrążeni w przyjacielskiej rozmowie. Rzadki widok.|Rzadki widok - elf i strażnik Wiecznego Ognia prowadzący przyjazną rozmowę...|Rzadki widok - elf i strażnik Wiecznego Ognia prowadzący przyjazną pogawędkę...
454|Lady Bran|You? Yet another an Craite lackey?|Lady Bran|What did you say?!|Crach|Did Cerys entice you to cooperate? I can imagine how. Or has Crach paid you to smear my name?|Domyślam się, jak Cerys skłoniła cię do współpracy. A może to Crach ci zapłacił, żebyś mnie oczerniał?|Czy Cerys namówiła cię do współpracy? Mogę sobie wyobrazić jak. Czy może Crach zapłacił ci za szkalowanie mojego imienia?|Czy Cerys skusiła cię do współpracy? Mogę sobie wyobrazić jak. Czy może Crach zapłacił ci za szkalowanie mojego imienia?
455|Verden Peasant 05|A time ago, when he was still in the army, some Black 'uns had holed up in a dye works. Baron and his men were ordered to take it. Others might've bided their time, starved 'em out, but the baron's an hasty one, attacked straightaway.|Verden Peasant 05|Folk took to sayin' that the river'd flowed red with blood, er, that the baron had slaughtered his prisoners to a man. Been known as the Bloody Baron ever since.|Verden Peasant 05|The Black 'uns surrendered. Baron and his men took most of 'em alive. But one of his blokes knocked over a vat of red dye. It all ran into the river.|Czarni poddali się i Baron wziął ich żywcem. Ale ktoś z jego ludzi rozwalił balie z czerwonymi barwnikami i wszystko do rzeki się wylało.|Czarni się poddali. Baron i jego ludzie wzięli większość z nich żywcem. Ale jeden z jego ludzi przewrócił beczkę czerwonego barwnika. Wszystko spłynęło do rzeki.|Czarni się poddali. Baron i jego ludzie wzięli większość z nich żywcem. Ale jeden z jego ludzi przewrócił kadź z czerwoną farbą. Wszystko spłynęło do rzeki.
456|Geralt|What, so you could smack him? Stopped to think how Polly'd react to that? Think she'd be thrilled? What if he smacked you back and won?|Dandelion|||He wouldn't've won.|Nie wygrałby.|Nie wygrałby.|On by nie wygrał.
457|Skellige Guard 01|Oh, he just fist-ploughed his gob!|Skellige Woman 01|Olaf! Olaf! Olaf!|Skellige Villager 01|Haaaaaa!|Ha!|Ha ha ha!|Haaaaaa!
458|Yennefer|Reading my mind again?|Geralt|Got so many ideas…|Geralt|Mhm. What's more, I like what I see.|Co więcej, podoba mi się to, co w nich widzę.|Aha. Co więcej, podoba mi się to, co widzę.|Mhm. Co więcej, podoba mi się to, co widzę.
459|Novigrad Peasant Woman 02|Insolent knave! You thief!|Novigrad Peasant Woman 01|Witch Hunters've been tellin' folk that any hag with a wart on her mug…|Novigrad Peasant Woman 02|Just so it don't come down hard at harvest this year.|Byle tego roku w żniwa nie lało.|Aby nie było ciężko podczas żniw w tym roku.|Tylko żeby nie spadło ciężko w porze zbiorów w tym roku.
460|Geralt|Naye. A ghost.|Verden Old Woman 02|You see, Jackamar haunts me dreams… Jackamar's me husband, or was till he died at war.|Verden Old Woman 02|Can you tell me anything more?|Możesz powiedzieć coś więcej?|Widzisz, Jackamar nawiedza moje sny... Jackamar był moim mężem, dopóki nie zginął na wojnie.|Czy możesz mi powiedzieć coś więcej?
461|Novigrad Citizen Woman 01|Got dancers 'round every other corner in the big city.|Novigrad Thug Strong 01|Over my dead body! You'll not swivel your arse in some brothel!|Novigrad Thug Strong 01|You pig!|Ty świnio!|Ty świnio!|Ty świnio!
462|Novigrad Rich Man 01|It's not always quiet. Once, I was alone in the sauna… Argh, you'll laugh.|Novigrad Rich Man 03|"Well, I was in the sauna… And I heard a sort of growling coming from below. ""Maaargh. Buerrgh"" - something like that."|Novigrad Rich Man 03|You must finish now you've begun! Well?|Jak już zacząłeś, to skończ! No?|No więc byłem w saunie...|Musisz skończyć teraz, kiedy zacząłeś! No więc?
463|Geralt|Never changes. I try to stay out of things, stand aside… then comes an urgent summons and an offer I can't refuse.|Geralt|So, talked to the emperor.|Geralt|Enough about that. Mind if we change the subject?|Tyle w tej kwestii. Możemy zmienić temat?|Wystarczy już o tym. Czy masz coś przeciwko zmianie tematu?|Wystarczy o tym. Czy miałbyś coś przeciwko zmianie tematu?
464|Katakan 01|C'mon, cut the shit.|Geralt|Over here.|Katakan 01|Here I am.|Jestem.|Jestem tutaj.|Oto jestem.
465|Emhyr|I'm sure.|Geralt|In that case, a stallion, a throroughbred Nilfgaardian, awaits you in the stables. Treat it as an expression of my gratitude.|Emhyr|I understand. Honor prevents you from accepting coin.|Rozumiem, honor nie pozwala ci przyjąć pieniędzy.|Rozumiem. Honor nie pozwala ci przyjąć monety.|Rozumiem. Honor nie pozwala ci przyjąć monety.
466|Geralt|Hrrr know hrrr… how to frrrree hrr me?|Morkvarg Warewolf|Hrr help, or I'll hrr returrn to shrrred you, hrrr rrrip you limb frrrom limb!|Morkvarg Warewolf|Cases like this, sometimes it's simple - feed the cursed one of your own will, not theirs. Other times it can be a real bitch.|W takich wypadkach czasem starczy, żeby z dobrej woli dać przeklętemu jedzenie... A czasem trzeba czegoś więcej.|Czasami wystarczy nakarmić przeklętego swoją wolą, nie ich. Inne sytuacje mogą być naprawdę trudne.|Przypadki takie jak ten czasem są proste - nakarm przeklętego własną wolą, nie ich. Innym razem może to być prawdziwa suka.
467|Verden Old Man 02|Don't be stupid. Probably dead already.|Verden Woman 03|Huh? To the swamp, gonna dig up some peat. Where else would I be goin'?|Verden Peasant 04|Where you headed with that spade?|A ty gdzie z tym szpadlem?|Dokąd idziesz z tym szpadlem?|Dokąd zmierzasz z tym szpadlem?
468|Redanian Townswoman 02|Thieeeeeef!|Redanian Townswoman 01|No decent woman coaxes men by danglin' her tits.|Redanian Townswoman 02|Rats!|A jej!|Szczury!|Szczury!
469|Geralt|||If he thinks he can buy me, he is sorely mistaken.|Cirilla|Well?|I co?|No więc?|No więc?
470|Novigrad Rich Woman 19|Begone with you!|Novigrad Rich Woman 19|*Sniff sniff*… Another pyre? Already lit. Who is it this time?|Novigrad Rich Woman 19|When you don't have what you like, you'd best like what you have. Yes.|Jak się nie ma co się lubi, to sie lubi co się ma. No.|Gdy nie masz tego, co lubisz, lepiej polub to, co masz. Tak.|Kiedy nie masz tego, co lubisz, najlepiej lubić to, co masz. Tak.
471|Novigrad Poor Man 17|I've already paid Mr. Cleaver!|Novigrad Poor Man 17|Taxes, tariffs, tribute - one and the same.|Novigrad Poor Man 17|They milk you dry… Every man in this city demands a cut!|Ze skóry obedrą... Każdego trza tu opłacić!|Wykorzystują cię do cna... Każdy człowiek w tym mieście żąda swojej części.|Opróżniają cię z pieniędzy... Każdy mężczyzna w tym mieście domaga się swojej części!
472|Temerian Merchant 01|Exactly. Dammit, I feel as if I've been trampled by a herd of cattle. I've no notion what she did to me, but it seems you've delivered me from my misfortune.|Temerian Merchant 01|Whose taste has grown worse since you were sleeping with her. Come on, the kind-hearted gentleman'll get along fine on his own.|Triss|Here, take this. Have a good time, paint the town coral.|Macie tu, o. Zabawcie się na mieście.|Weź to. Baw się dobrze, maluj miasto na różowo.|Tutaj, weź to. Miło spędź czas, pomaluj miasto na koralowo.
473|Geralt|Finderingers great Ogg-Pogg! Human finder on bigshoes cart, shoes biglike so!|Troll_3|Ogg Pogg mans cavetotake. Thereover.|Troll_3|Mhm. What'd they do this human?|I co z nim zrobili?|Co oni zrobili temu człowiekowi?|Mhm. Co oni zrobili temu człowiekowi?
474|Troll_2|Sorry say.|Troll_2|Pll… please…|Troll_2|Troll awfulthick hide. Your awfuldull metalstick.|Ja mam grubaskóra. Ty masz tępy miecz.|Twoja skóra jest okropnie gruba. Twój metalowy kij jest strasznie nudny.|Troll straszliwie gruby kryje się. Twój straszliwie nudny metalowy patyk.
475|Keira Metz|A sea monster. Looks a bit like a kayran.|Geralt|Another security measure. Dammit all…|Geralt|Geralt, what the hell is that?!|Geralt, co to jest?!|Geralt, co to u diabła jest?!|Geralt, co to do cholery jest?!
476|Skellige Woman 04|Great Goddess, I give my heart unto Ye.|Skellige Woman 04|So what is she to ye, the sorceress? Yennefer, right?|Skellige Woman 04|A witcher…|Wiedźmin...|Czarodziejka...|Czarodziej...
