speaker|prev_text|prev_speaker|next_text|next_speaker|en_text|pl_text|dialog_prototype1|dialog_prototype2|default
Hemmelfart|Uuugh… We don't tell a soul, understand? This stays here.|Eskel|Hahahahaha!|Eskel|No, you oaf! Witchers! Witchers attacking!|Nie, baranie! Wiedźmini! Wiedźmini mnie dopadli!|Wiedźmini! Atakują wiedźmini!|Ten lód... To zaklęcie. Musisz zniszczyć kostur czarodzieja, który je rzucił.|No, ty ośle! Wiedźmini! Wiedźmini atakują!
Geralt|Vampire was wounded, needed fresh blood.|Geralt|Tracks end here.|Geralt|Wouldn't 'ave ventured far from its lair if it was weak.|Jeśli był osłabiony, nie oddalił się od leża.|Nie odważyłoby się oddalić od swojej kryjówki, gdyby było słabe.|Nie odważyłoby się oddalić od swojej kryjówki, gdyby było słabe.|Nie odważyłoby się oddalić daleko od swojej kryjówki, gdyby było słabe.
Novigrad Citizen Woman 14|Wasn't Nathaniel. Dammit.|Geralt|||Aaaaaaaaaa!|Aaaaaaaaaa!|Aaaaaaaaaa!|Aaaaaaaaaa!|Aaaaaaaaaa!
Geralt|||Er, not lately. But about half a year back I slew a manticore in Creyden, in a forest. Quick son of a bitch, that one.|Eskel|Happen on any interesting contracts lately?|Jakieś ciekawe zlecenia ostatnio?|Czy ostatnio zdarzyły się jakieś ciekawe zlecenia?|Nie było ostatnio żadnych ciekawych zleceń?|Czy ostatnio wydarzyło się coś interesującego w kontraktach?
Novigrad Rich Man 02|Gentlemen… I am soused, pickled, crocked and stewed…|Novigrad Rich Man 01|Don't be vulgar! What will our new friend think… Pour another!|Novigrad Rich Man 01|Heeheehee… want another term for your state?|He, he... A wiecie... Hihi... A wiecie, co się rymuje z „trupa”?|Heeheehee... Chcesz inne określenie na swój stan?|Nie bądź wulgarny! Co pomyśli nasz nowy przyjaciel... Nalej jeszcze jednego!|Heeheehee... chcesz inny termin na swój stan?
Folan|Imagine we'd miss a chance like this? Not on your life!|Hjalmar|Thanks for coming.|Geralt|Grief grips me that Vigi's not here.|Aż żal, że nie ma z nami Vigiego.|Dzięki za przybycie.|Dzięki za przybycie.|Żałoba ogarnia mnie, że Vigi tu nie ma.
Novigrad Prostitute 02|Hard times we live in, so I wondered if I could, well, have a go for half price?|Novigrad Citizen Man 01|But you're a regular, so you can choose which half.|Novigrad Prostitute 02|For half price I'll undress half way.|Za pół ceny to ja się mogę rozebrać do połowy.|Dla połowy ceny rozbiorę się do połowy.|Dla połowy ceny rozbiorę się do połowy.|Za połowę ceny rozbiorę się do połowy.
Novigrad Thug Weak 35|I'll make you weep.|Novigrad Thug Weak 34|Greetings.|Novigrad Thug Weak 35|Welcome.|Witam.|Witaj.|Witaj.|Witaj.
Eskel|Er, not lately. But about half a year back I slew a manticore in Creyden, in a forest. Quick son of a bitch, that one.|Eskel|Get a nice sum at least?|Geralt|Jumped out of the undergrowth so fast my medallion didn't have time to give me so much as one twitch. Won't show you the scar – too big a boy for that.|Nawet mi medalion nie zdążył drgnąć, jak wyskoczyła z zarośli. Blizny nie będę pokazywał, bo już za duży na to jestem.|Wyskoczyło z krzaków tak szybko, że medalion nie zdążył mi nawet drgnąć.|Wyskoczyło z krzaków tak szybko, że medalion nie zdążył mi nawet drgnąć.|Wyskoczyłem z zarośli tak szybko, że mój medalion nie zdążył nawet drgnąć. Nie pokażę ci blizny – jestem już za dużym chłopcem na takie rzeczy.
Baron Bandit Weak 01|You dare tell me to calm down?! You?!|Baron|Don't you mention my daughter! You! You took her, didn't you?! Admit it!|Baron|If Miss Tammy saw you like this--|Jakby panienka Tamara was takim widziała...|Jeśli panienka Tammy zobaczyła cię w takim stanie...|Z tego co wiem, w Novigradzie elfy nie są zbyt dobrze traktowane.|Gdyby panna Tammy zobaczyła cię w takim stanie -
Redanian Soldier 03|Each is a hundred years old at least. They use spells to erase the years, straighten humps, remove warts and ulcers.|Witch Hunter 03|Shut it. Jests like that could land you in prison. Or on a pyre.|Witch Hunter 02|What's wrong with that? I'd take some years off myself if I could.|A co w tym złego? I ja bym sobie lat odjął, gdybym mógł.|Co w tym złego? Też bym sobie odjął parę lat, gdybym mógł.|Co ci szkodzi? Ja też bym sobie parę lat odjął, gdybym mógł.|Co w tym złego? Sam bym sobie wziął kilka lat przerwy, gdybym mógł.
Geralt|Take these shackles… Put them on me.|Triss|Think… Bring the hunters the vile Triss Merigold, they won't just open the gate for you, they're likely to let you present her to Menge personally.|Triss|Mind explaining what this is all about?|Może wytłumaczysz, o co chodzi?|Mogłabyś wyjaśnić, o co tu chodzi?|Myśl... Przyprowadź łowców plugawą Triss Merigold. Oni nie otworzą po prostu bramy, prawdopodobnie każą ci osobiście przedstawić ją Menge.|Czy mógłbyś wyjaśnić, o co w tym wszystkim chodzi?
Skellige Woman 01|Such marvels.|Skellige Woman 01|Ah, leave me be. I've no mind for that.|Skellige Woman 01|No poison, no conspiracy. Gangrene set in after he broke his leg fallin' off a horse on a hunt.|Nie żadne otrucie, ni spiski. Zgorzel mu się wdała w nogę, jak z konia na polowaniu spadł.|Nie ma trucizny, nie ma spisku. Zgorzel wdała się po tym, jak złamał nogę spadając z konia podczas polowania.|Nie ma trucizny, nie ma spisku. Zgorzel wdała się po tym, jak złamał nogę spadając z konia podczas polowania.|Żaden jad, żaden spisek. Zgorzel wdała się po tym, jak złamał nogę spadając z konia podczas polowania.
Udalryk|||Clearly what Destiny wanted - not for us to judge.|Hjort|Young an Craite on the throne - it's like the helm's been handed to a dockside vagrant. This is bad.|Wpuścić młodego an Craite na tron to tak, jakby oddać ster portowemu przybłędzie. Źle się stało.|Młody an Craite na tronie - to tak, jakby hełm wręczyć portowemu żebrakowi. To bardzo źle.|To jasne, że tak chciała Przeznaczenie - nie pozwoliła nam osądzać.|Młody An Craite na tronie - to jakby ster oddać portowemu włóczędze. To jest złe.
Geralt|Bahumum…|Skellige Fisherman 02|Fair winds to you!|Navigator|Nice talking to you, but time I was on my way. So long.|Miło się rozmawia, ale na mnie już czas. Bywajcie.|Nice talking to you, but time I was on my way. So long.|Z tego co wiem, w Novigradzie elfy nie są zbyt dobrze traktowane.|Miło się z tobą rozmawiało, ale czas już na mnie. Do widzenia.
Nilfgaardian Soldier 01|{Ess’creasa tilleadh aen deaghlach, n’ees hwre, aen wilde caer ess’iare tuvean…} [Should be home with my family, not here, seeking death in this barbarous land…]|Nilfgaardian Soldier 01|Sheathe your weapon.|Nilfgaardian Soldier 01|Make way!|Odstąp!|Usuń się z drogi!|Usuń się z drogi!|Zrób miejsce!
Geralt|It'll make learning my shecret methodsh eashier. Look… You take the potion like thish… And gulp!|Gremista|Yeah, yeah… I call it stimulation and assimilation. First you stimulate, and then - hahaa - you assimilate. Now shit down.|Gremista|Drink hard and study hard. I like the idea.|Nauka przy butelce? To lubię.|Drink hard and study hard. I like the idea.|Drink hard and study hard. I like the idea.|Pij dużo i ucz się dużo. Podoba mi się ten pomysł.
Dandelion|Dandelion, you rascal! Got this lass to thank for us racin' after youse. She chivvied and chivvied…!|Zoltan Chivay|Dandelion, I need to ask you something. It's important, so focus. Where's Ciri?|Geralt|Shame you arrived too late to see us hoodwink that hunter! I had a plan all set, but then Geralt…|Szkoda, że nie widzieliście, jak załatwiliśmy tego łowcę! Ja chciałem zrobić to całkiem inaczej, ale Geralt...|Szkoda, że spóźniłeś się tak bardzo, żeby zobaczyć, jak oszukaliśmy tego myśliwego! Miałem już gotowy plan, ale potem Geralt...|Dandelion, ty szelmo! Masz tej pannie za co dziękować, że nas ganiała po lesie za tobą. Ona nas tak poganiała i poganiała…!|Szkoda, że przybyłeś za późno, by zobaczyć, jak nabraliśmy tego myśliwego! Miałem już wszystko zaplanowane, ale potem pojawił się Geralt...
Novigrad Poor Man 24|Got a big dump brewin'…|Novigrad Poor Man 24|Eh?|Novigrad Poor Man 25|You must make more as a mummer than you do witcherin', eh?|Jako aktor chyba wińcej pieniędzy zgarniasz, niż jako wiedźmin?|Musisz chyba lepiej zarabiać jako mim, niż jako wiedźmin, co?|Musisz chyba zarabiać więcej jako mim, niż jako wiedźmin, co?|Musisz zarabiać więcej jako błazen niż jako czarodziejka, co?
Skellige Warrior 04|Storm's a-comin'. Gotta go to your mum, tell her to take the wash down… You keep practicin'.|Skellige Warrior 05|If your fingers tire, grip the string with…|Skellige Warrior 05|Aye.|Dobrze.|Tak.|Jeśli twoje palce zmęczą się, chwyć sznurek...|Tak.
Scoiatael Dwarf 32|Most of us don't like humans.|Scoiatael Dwarf 32|What was that?|Scoiatael Dwarf 32|Don't bother me.|Nie przeszkadzaj.|Nie zawracaj mi głowy.|Nie zawracaj mi głowy.|Nie przeszkadzaj mi.
Geralt|Really. Then who are you? And how on earth did you get in?!|Rosa Var Attre|Well fought. You're much better than the last one.|Rosa Var Attre|Incredibly. But we oughta discuss that another time.|Niezmiernie. Ale pozwól, że pogadamy o tym kiedy indziej.|Ależ oczywiście. Ale musimy poruszyć ten temat innym razem.|Z tego co wiem, w Novigradzie elfy nie są zbyt dobrze traktowane.|Niesamowicie. Ale powinniśmy o tym porozmawiać innym razem.
Cerys|Not a bad idea - on condition it's a ghost we're dealing with. But something doesn't add up…|Geralt|Aki drowned at sea - said so yourself. But the ghost haunts this house.|Geralt|What's that?|Co takiego?|Co dokładnie się nie zgadza?|Co dokładnie cię niepokoi?|Co to jest?
Geralt|The ritual is only for members of the Inner Circle. Thus, my dear apprentice, you must wait outside. Under no circumstances must you to enter! We shall begin your tutelage come morn.|Gremista|Hah! We'll make someone out of you yet, witcher. Now off with you, shoo!|Gremista|As you wish, Master.|Jak sobie życzysz... Mistrzu.|Jak sobie życzysz, Mistrzu.|Jak sobie życzysz, Mistrzu.|Jak sobie życzysz, Mistrzu.
Baron Bandit Strong 03|Key's gotta be 'ere somewhere!|Baron Bandit Strong 03|Let me out, I beg ye! Key's around here somewhere! It's gotta be!|Verden Vendor 02|Thank ye, witcher! Ye ought to come by Mulbrydale, see me forge. I'll have somethin' for ye. A gesture of gratitude.|Dzięki, wiedźminie! Zajdźcie no kiedy do Jawornika, do mojej kuźni -- a dam coś w podzięce.|Dzięki ci, wiedźminie! Powinieneś zajrzeć do Mulatego Dworu, zobaczyć moją kuźnię. Będę miał dla ciebie coś w podzięce.|Dzięki ci, wiedźminie! Powinieneś zajrzeć do Mulaebradle, zobaczyć moją kuźnię. Będę mieć dla ciebie coś specjalnego. Gest wdzięczności.|Dzięki ci, wiedźminie! Powinieneś zajrzeć do Mulbrydale, zobaczyć moją kuźnię. Będę miał coś dla ciebie. Gest wdzięczności.
Geralt|Ah, the key.|Geralt|Dammit, now where would she leave…?|Dandelion|Not here.|Tu go nie ma.|Nie tutaj.|Nie tutaj.|Nie tutaj.
Baron Bandit Strong 03|Nice scythe - put it away.|Baron Bandit Strong 03|Aye-yah!|Baron Bandit Strong 03|Arrrgh!|Arghh!|Ach!|Ach!|Arrrgh!
Verden Old Man 02|Let it go. 'Tis the hunger… makes me head spin.|Verden Old Man 02|Tisn't easy, not at all…|Verden Old Man 02|Be well!|Trzymajcie się zdrowo!|Bądź zdrowy!|Bądź zdrowy!|Bądź zdrowy!
Elf Man 37|I wonder if the river's rising.|Elf Man 37|Ugh, humans.|Elf Man 37|What are you looking at?|Na co się gapisz?|Czemu się tak gapisz?|Czemu się tak gapisz?|Na co patrzysz?
Novigrad Boy 01|I don't believe you!|Novigrad Boy 01|Snails'll come out after the rain. We'll catch some, have a race!|Novigrad Boy 02|Saw some dead folk…|Widziałem martwych ludzi...|Widziałem martwych ludzi...|Widziałem martwych ludzi...|Widziałem martwych ludzi...
Geralt|Not too special, that, as dangers litter this isle. But it does go to explain why we're a wee bit distrustful.|Dwarf Doc|Crikey. Ye call a shipwreck conventional?|Dwarf Grumpy|No way you can get to this isle conventionally.|Na tę wyspę nie da się trafić w zwykły sposób.|Nie ma żadnego sposobu, by dostać się na tę wyspę konwencjonalnie.|Czego jak czego, ale nekkerów to się akurat nie boję.|Nie ma sposobu, aby konwencjonalnie dostać się na tę wyspę.
Geralt|What mood would you be in if you'd lost your son…? So, I'm askin' - what d'ye want?|Skellige Blacksmith Helper 01|So be it…|Skellige Blacksmith Helper 01|Wouldn't mind a look at your stock.|Chcę obejrzeć twoje towary.|Chętnie bym obejrzał Twój towar.|Nie pogardziłbym rzutem oka na twoje towary.|Nie miałbym nic przeciwko rzuceniu okiem na twój stan magazynowy.
Karl Varese|Shit happens.|Geralt|Temple Guard! Scatter!|Novigrad Citizen Man 03|Aye, it sure fuckin' do. That's business - sometimes you kick the cow, sometimes it kicks you.|No mówi się, kurwa, mówi. Tak to już jest w interesach – raz na wozie, raz pod wozem.|Tak już bywa w interesach - czasem ty kopiesz krowę, a czasem krowa ciebie kopie.|To biznes - czasem kopiesz krowę, czasem ona cię kopnie.|Tak, na pewno tak jest. To interesy - czasem kopiesz krowę, a czasem ona cię kopie.
Hjalmar|Ochre, coal dust, woad. Tattoo dyes.|Geralt|Human scalps… Unusual as decorations go.|Geralt|I'll bloody give 'em tattoos…|Już ja im zrobię tatuaże...|Dobrze, dam im nauczkę...|I'll bloody give 'em tattoos…|Kurwa, zrobię im tatuaże...
Skellige Warrior 02|We've just barely made port and already you're pesterin' me…?|Skellige Warrior 02|May your axe never crumble.|Skellige Warrior 02|Greetings.|Witaj.|Pozdrowienia.|Pozdrowienia.|Pozdrowienia.
Geralt|I'll give you all I got…|Cyprian Willey|I'll tell you everything…|Cyprian Willey|Got a few questions to start with.|Na początek zadam kilka pytań.|Mam parę pytań na początek.|Z tego co wiem, w Novigradzie elfy nie są zbyt dobrze traktowane.|Mam kilka pytań na początek.
Geralt|I sense no wrath…|Ghost In The Tree|Beguiled by darkness. But your heart... It is not black…|Ghost In The Tree|Didn't come here in anger.|Nie przychodzę w gniewie.|Nie przyszedłem tu w gniewie.|Nie przyszedłem tu w gniewie.|Nie przyszedłem tu w gniewie.
Triss|No way. Too risky.|Geralt|Fine, let's say they take the bait… What then? We go in, I put a sword to Menge's throat and ask him where Dandelion is?|Geralt|Dandelion's life's on the line… Ciri's too. No such thing as too risky.|Tu chodzi o Jaskra... I Ciri. Więc nie ma czegoś takiego jak zbyt duże ryzyko.|Życie Dandeliona i Ciri jest w niebezpieczeństwie… Żadne ryzyko nie jest zbyt duże.|Dandelion's life's on the line… Ciri's too. No such thing as too risky.|Życie dmuchawca wisi na włosku... Życie Ciri też. Nie ma czegoś takiego jak zbyt ryzykowne.
Vesemir|Let's go give it a warm welcome.|Geralt|A crossbow?|Geralt|Wait. Take this.|Czekaj... Weź to.|Czekaj. Weź to.|Czego jak czego, ale nekkerów to się akurat nie boję.|Poczekaj. Weź to.
Novigrad Citizen Woman 01|Rain. The one thing that's ploughing free in this city.|Novigrad Citizen Woman 01|I'm at a loss for words!|Novigrad Citizen Woman 01|Jeweler's widow gave her whole inheritance to the priests!|Jubilerowa cały spadek po mężu kapłanom oddała!|Żona jubilera oddała cały swój spadek księżom!|Żona jubilera oddała cały swój spadek księżom!|Wdowa po jubilerze oddała całe swoje dziedzictwo księżom!
Geralt|Geralt, stop fingering my toiletries.|Yennefer|I know. You might bring me some more once you're done training.|Yennefer|You're running out of juice.|Kończy ci się sok.|Wiesz, że ci nie wystarczy?|Wiesz, że się kończą?|Kończy ci się energia.
Geralt|||||Medallion's humming - there's magic here.|Medalion drży – w tym miejscu obecna jest magia.|Medalion wydaje ciche brzęczenie - tu jest magia.|Medallion's humming - there's magic here.|Medalion buczy - tu jest magia.
Elf Man 02|Can't afford it anyway.|Elf Man 02|Wild Hunt take you all!|Elf Man 02|I will not speak to you. I refuse. Va fail.|Nie będę z tobą rozmawiał. Va faill.|Nie będę z tobą rozmawiać. Odmówię. Nie uda ci się.|Nie będę z tobą rozmawiać. Odmówię. Nie uda ci się.|Nie będę z tobą rozmawiać. Odmówię. Va fail.
Verden Boy 01|Pappy brought 'er at night, the lady does the medicines. She was all afeared. Talked about an awful monster, said she had to go back. Don't know where to.|Verden Boy 01|The pretty young one, does the medicines - she came that night. She was tired, breathin' hard. Mummy gave her something to drink.|Verden Boy 01|Mummy and pappy cheered 'er up, gave 'er clothes. Hers were ragged.|I tata z mamą ją pocieszali i dali nowe ubranie, bo jej było potargane.|Mama i tata pocieszyli go, dali mu ubrania. Jego były podarte.|Mama i tata pocieszyli go, dali mu ubrania. Jego były podarte.|Mama i tata pocieszyli go, dali mu ubrania. Jego były podarte.
