speaker|prev_text|prev_speaker|next_text|next_speaker|en_text|pl_text|dialog_prototype|default
Dijkstra|Mentioned Whoreson's got a house. Where is it?|Geralt|||Solid townhouse on Temple Isle, just on the other side of the bridge. Wouldn't wager me knickers on finding him there. Junior's not that stupid.|To całkiem zacna posiadłość tuż za mostem wiodącym na Wyspę Świątynną. Ale Junior jest za sprytny, żeby tam siedzieć.|Solidny dom mieszczański na Wyspie Świątynnej, tuż po drugiej stronie mostu. Nie postawiłbym swoich gaci na to, że go tam znajdziesz. Junior nie jest tak głupi.|Solidny dom szeregowy na Temple Isle, zaraz po drugiej stronie mostu. Nie postawiłbym moich gaci na to, że znajdę go tam. Junior nie jest aż tak głupi.
Dwarf Doc|Idgit insisted he'd explore the caves to the east.|Dwarf Doc|||Tried to knock it out his head - literally! Bugger wouldn't budge.|Nie zdołałem wybić mu z głowy tego pomysłu.|Próbowałem uderzyć go w głowę - dosłownie! Cholera nie chciała się ruszyć.|Próbowałem uderzyć go w głowę dosłownie! Cholera, nie chciała się ruszyć.
Triss|No time for courtesies, my dear. Get on board.|Dijkstra|Thank you. I'll never forget what you did for me… And what we had together.|Triss|One last farewell.|Jeszcze tylko jedno pożegnanie.|Jeszcze jedno pożegnanie.|Jeszcze jedno pożegnanie.
Novigrad Dockworker 02|Ah, don't give a flyin' fuck.|Novigrad Dockworker 02|Killed the scag, then slit her fancy man open like a prime porker!|Novigrad Dockworker 02|Milk in his belly makes a man smelly.|Kto pija mleko, ten rzyga daleko.|Mleko w brzuchu sprawia, że człowiek śmierdzi.|Mleko w brzuchu sprawia, że człowiek śmierdzi.
Priscilla|Join us later. See ya.|Geralt|Hidden message?|Priscilla|Sure you know where to find her? The troupe performs in the Butchers' Yard, off the main square.|Wiesz, gdzie ją znaleźć? Jej trupa występuje w Zaułku Rzeźników.|Priscilla: Jasne, wiesz gdzie ją znaleźć? Trupę można zobaczyć w Zaułku Rzeźników, odchodzącym od głównego placu.|Jesteś pewien, że wiesz, gdzie ją znaleźć? Trupia występuje na dziedzińcu rzeźników, przy głównym placu.
Geralt|Who do you take me for? Gave you me word, didn't I? But I'd hire guards if I was you. You never know with Cleaver.|Novigrad Thug Strong 01|A few of Cleaver's little shits escaped. Bugger probably already knows everythin'. I've no men to spare, can't guarantee your safety. If I was you I'd lie low for a time.|Novigrad Thug Strong 01|Think they'll come back?|Myślisz, że ludzie Tasaka wrócą?|Myślisz, że wrócą?|Myślisz, że wrócą?
Skellige Woman 02|Ach, you need a man, girl. Get more foolish every spring…|Skellige Woman 02|Mum… she's from the Continent… she's shy.|Skellige Woman 04|But why've you got the towel, child? It'll just get wet…|Ale czemu ty, dziecko, w ręczniku jesteś? Zmoczy się tylko...|Ale dlaczego masz ręcznik, dziecko? Przecież zamoknie...|Ale po co masz ręcznik, dziecko? Przecież zamoknie…
Halfling Man 05|Dill pickle soup for luncheon today. Lovely.|Halfling Man 05|*Sneezes* Excuse me.|Halfling Man 05|Gloomy as a root cellar, y'are.|Mroczny jesteś jak piwnica z rzepą.|Jesteś ponury jak piwnica na warzywa.|Ponury jak piwnica na ziemniaki, jesteś.
Geralt|||Remember me, Jarl?|Geralt|Farewell.|Bywaj.|Do widzenia.|Żegnaj.
Novigrad Rich Man 33|Hats off.|Novigrad Rich Man 33|Don't touch me.|Novigrad Rich Man 33|Do you see what I do?|Widzicie to, co ja?|Czy widzisz, co robię?|Czy widzisz, co robię?
Verden Woman 04|What'd he make that stew from? Rats?|Verden Woman 04|Greetings! Greetings! How fare ye?|Verden Woman 04|Got other matters on me mind just now.|Co inszego mam tera na głowie.|Mam teraz inne sprawy na głowie.|Mam teraz inne sprawy na głowie.
Troll_2|Enjoying this little chat? 'Cause, er, it's not getting us anywhere.|Lambert|Dummy you. Witcherses monster kills. Trolls monsters… Yes, true is, no face make!|Troll_3|Troll rock throw… Witcherses strike no back. Just talkie-talkie. Witcher… good?|My rzucić kamień... A wiedźminy nie oddać, tylko gadać. Może wiedźminy dobre?|Rzucam kamieniami w czarowników... Czarownicy nie uderzają w odpowiedzi. Po prostu gadamy.|Troll rock rzuć... Wiedźmini nie uderzają w odwecie. Po prostu gadka. Wiedźmin... dobry?
Geralt|He's awake. It's time… time to lift the curse. Prepare the phylactery.|Yennefer|Was that in Kerack? Just after we'd…|Yennefer|Ever tell you about the time Dandelion bought me a sword?|Opowiadałem ci, jak Jaskier kupił mi miecz?|Czy kiedykolwiek opowiadałaś mu o tym, jak Dandelion kupił mi miecz?|Czy kiedykolwiek opowiadałem ci o tym, jak Dmuchawiec kupił mi miecz?
Geralt|No chance. We'll both die in here.|Margarita Laux Antille|They captured her first. Her condition's critical.|Margarita Laux Antille|Síle?|Sheala?|Síle?|Siła?
Celina|||Don't cry, Yagna.|Celina|"What're you on about? Who said ""arse""? Eh? Ugly word, ugly."|Co się dzieje? Kto powiedział „rzyć”, he? To brzydkie słowo, brzydkie.|"Co masz na myśli? Kto powiedział ""tyłek""? Eh? Brzydkie słowo, brzydkie."|"O czym ty mówisz? Kto powiedział ""dupa""? Eh? Brzydkie słowo, brzydkie."
Geralt|What a waste of time. The earth shall revolve around the sun before you comprehend these rules.|Novigrad Nobleman 01|Why not. Aldert Geert, assistant professor in contemporary history at Oxenfurt Academy.|Novigrad Nobleman 01|Got a minute?|Mogę zająć chwilę?|Czy mógłby Pan poświęcić mi chwilę?|Masz minutę?
Geralt|What? Who? Oh, witcher. You frightened me. Thought it were those vile hags.|Godling Johnny|The Crones sent them. To punish me.|Godling Johnny|Killed a few near your den.|Zabiłem kilka przy twoim legowisku.|Zabiłem kilku niedaleko twojej nory.|Zabiłem kilku w pobliżu twojej nory.
Skellige Woman 01|||||Think they call me the Vipress 'cause I'm pleasant to talk to? Outta my sight, foreigner.|Myślisz, że wołają mnie Żmija, bo miło się ze mną rozmawia? Zejdź mi z oczu, przybłędo.|Myślisz, że nazywają mnie Żmiją, bo jestem miła w rozmowie? Zniknij mi z oczu, cudzoziemcze.|Myślą, że nazywają mnie Żmiją, bo jestem miła w rozmowie? Spoza zasięgu mojego wzroku, cudzoziemiec.
Arnvald|We wanted to talk to Crach an Craite.|Geralt|Follow me, please.|Arnvald|The jarl will join us shortly. He's assigned you a place of honor at the table, just beside his daughter, Cerys.|Jarl wkrótce do nas dołączy. Tymczasem wyznaczył wam zaszczytne miejsce przy stole, tuż obok swojej córki Cerys.|Arnvald - Jarl do nas dołączy za chwilę. Przydzielił wam miejsce honorowe przy stole, tuż obok swojej córki, Cerys.|Jarl dołączy do nas wkrótce. Przydzielił ci miejsce honorowe przy stole, tuż obok swojej córki, Cerys.
Yennefer|||||Someone's there. Beyond the door…|Ktoś tu jest. Za drzwiami...|Ktoś tam jest. Za drzwiami...|Ktoś tam jest. Za drzwiami...
Novigrad Thug Strong 32|What are you lookin' at?|Novigrad Thug Strong 31|Uh-oh... Trouble.|Novigrad Thug Strong 32|At yer service.|Uszanowanko.|Na co tak patrzysz?|Do Państwa dyspozycji.
Geralt|Lynch mobs - nothing good ever comes of them.|Geralt|It was the lesser evil… I think.|Geralt|Now go. Stay off the highroads and give any villages a wide berth - until you cross the Yaruga.|Idź już. I trzymaj się lepiej z dala od wsi i gościńców, póki nie przekroczysz Jarugi.|Teraz ruszaj. Trzymaj się z dala od głównych dróg i omijaj szerokim łukiem wioski - aż do przekroczenia Yarugi.|Teraz ruszaj. Trzymaj się z dala od głównych dróg i omijaj szerokim łukiem wszystkie wioski - dopóki nie przekroczysz Jarugi.
Verden Old Woman 02|*Spits* Tastes like flesh off a rottin' corpse.|Verden Woman 02|I, uh… heard it somewheres…|Verden Woman 02|A human corpse? Now how would you know?|A skąd ty, kochaniutka, wiesz, jak smakuje ludzkie mięso?|Czy chodzi o ludzkie ciało? No cóż, skąd mógłbyś wiedzieć?|Ciało człowieka? No jak byś się dowiedział?
Verden Woman 05|Bloody Baron, grown blind with rage, tanned the skin off his back!|Verden Woman 05|What if me man and yours tried their hands at that sort of… craft?|Verden Woman 05|How'm I to sleep nights with you tellin' me such tales?|I ja mam spać spokojnie, kiej takie rzeczy opowiadacie?|Jak mam spokojnie spać po tym, co mi opowiadasz?|Jak mam spać po nocach, gdy opowiadasz mi takie historie?
Keira Metz|Fine. What then?|Geralt|Think they'll be willing to chat?|Geralt|Well, the spirits who wander the isle - you must establish a rapport with them, don't know how. But they could point us in the direction of the curse's source.|Trzeba nawiązać kontakt z duchami, które błąkają się po wyspie. Mogą wiedzieć coś, co pomoże nam dotrzeć do źródła klątwy.|No cóż, duchy, które błądzą po wyspie - musisz nawiązać z nimi kontakt, nie wiem jak. Ale mogłyby wskazać nam drogę do źródła klątwy.|No cóż, duchy, które błąkają się po wyspie - musimy nawiązać z nimi kontakt, ale nie wiem jak. Mogłyby jednak wskazać nam kierunek, skąd pochodzi klątwa.
Skellige Druid 02|Gods bless our king! Fill his heart with wisdom, courage and honor!|Skellige Druid 02|Hear us, we beseech you, oh merciful Freya, great Hern and valiant Hemdall! Hear us, oh gods of this land!|Skellige Druid 02|May he lead us to victory against the invader! And in his reign may the earth yield a hundredfold more!|Niech prowadzi nas zwycięsko przeciw Czarnemu najeźdźcy, a za jego panowania niechaj ziemia wydaje plon stukrotny!|Niech prowadzi nas do zwycięstwa nad najeźdźcą! A za jego panowania niech ziemia obfituje stokrotnie!|Niech prowadzi nas do zwycięstwa nad najeźdźcą! A w jego panowaniu niech ziemia przyniesie sto razy więcej plonów!
Crach|Of late, look seaward and you'll see their sun on a sail, starin' right back.|Crach|But fear not, we'll banish the Black Ones and the Wild Hunt. Two birds with one Skelligan axe, heh heh.|Crach|We've yet to capture any of their crew, but only a fool wouldn't know they're planning something.|Nie pojmaliśmy jeszcze nikogo z ich załogi, ale tylko głupiec nie zorientowałby się, że coś szykują.|Jeszcze nie udało nam się schwytać żadnego z ich załogi, ale tylko głupiec nie domyśliłby się, że coś planują.|Jeszcze nie schwytaliśmy żadnego z ich załogi, ale tylko głupiec by nie wiedział, że coś planują.
Caranthir|{Raenn. } [Go.]|Caranthir|What is this?!|Keira Metz|Shaent tah'vir!|Shaent tah’vir!|Shaent tah'vir!|"Nie mogę znaleźć konkretnego tłumaczenia ""Shaent tah'vir!"" w języku polskim. To zdanie wydaje się być fikcyjne lub może pochodzić z innego języka niż angielski. Jeśli to jest błąd ortograficzny lub literówka, proszę o poprawienie oryginalnego tekstu.

Jeśli jednak chodziło Ci o tłumaczenie czegoś innego, np. ""Shut up!"" (Zamknij się!) lub ""Stop talking!"" (Przestań mówić!), to odpowiednikami w języku polskim mogłyby być:

- Zamknij się!
- Przestań mówić!

Proszę podaj więcej informacji lub sprostuj oryginalny tekst, jeśli potrzebujesz dokładniejszego tłumaczenia."
Novigrad Drunk 02|Shweetie?|Novigrad Drunk 02|Buururp. Lemme - buuurrp - alone!|Novigrad Drunk 03|In shuch lovely natural shurroundingsh…|W tak pięknych okolicznościach przyrody..|W takich cudownych naturalnych okolicznościach...|W takich uroczych naturalnych okolicach...
Dwarf Man 02|Kill the bugger, will you?|Dwarf Man 02|||Oi… Good mates, they were… Gnarled, knotty… Drinkin' mates, loggin' mates, brawlin' mates…|Ech... Dobre to były chłopy... Twarde... Sękate... Do wypitki i do wybitki i do kobitki...|Hej... To byli dobrzy kumple, tacy pomarszczeni i splątani... Pijący kumple, rąbiący kumple, bijący kumple...|Och... Dobre kumple, oni byli... Pokręceni, splątani... Pijący kumple, rąbiący kumple, bijący kumple...
Geralt|A successful feast on all counts, Crach. I will see you later.|Yennefer|Leave that to me. Go, seek and find your Cirilla.|Crach|Wondering if I should talk to Ermion…|Może powinienem porozmawiać z Myszoworem?|Zastanawiam się, czy powinienem porozmawiać z Ermion...|Zastanawiam się, czy powinienem porozmawiać z Ermion...
Geralt|Whoa - got too close.|Geralt|Noonwraith did this.|Geralt|Noonwraith won't stray too far from the well.|Widać południca nie oddala się od studni...|Południca nie oddali się zbytnio od studni.|Noonwraith nie oddali się zbytnio od studni.
Baron|Must've not heard me. Any journey into the swamp is suicide.|Geralt|I've no more tales of Ciri to offer you, but go with me and I'll be generous with what I do have. Very generous.|Baron|I heard you - which is why I could use your aid.|Dlatego przyda mi się twoja pomoc.|Usłyszałem cię - dlatego potrzebuję twojej pomocy.|Usłyszałem cię - dlatego mogę skorzystać z twojej pomocy.
Roche|You're here.|Roche|It's high enough.|Ves|Elbow higher.|Łokieć wyżej.|Łokieć wyżej.|Łokieć wyżej.
Geralt|Welcome, sir. We trust our charms and skills will prove to your liking. What is it you wish?|Elf Female 03|I remember you. And I'm glad you've returned.|Elf Female 03|Take care of yourself. Might be back.|Bywaj. Może tu jeszcze wrócę.|Dzięki za gościnę. Może wrócę.|Dbaj o siebie. Może wrócę.
Geralt|Greetings, stranger. Have a drink with us.|Skellige Villager 03|Hear that noise? That's Freya - grindin' her teeth, haha.|Skellige Merchant 03|Take care.|Bywaj.|Uważaj.|Dobrze się miej.
Novigrad Traveler Man 04|A witcher… Ptooey! Bodes ill, rotten luck!|Novigrad Traveler Man 04|Yes?|Novigrad Traveler Man 04|Weapon! Weapon!|Broń! Broń!|Broń! Broń!|Broń! Broń!
Witch Hunter 03|Fuck.|Witch Hunter 03|Mummy!|Witch Hunter 03|Sheathe it, White One, or things'll get hot.|Schowaj miecz Białowłosy, bo zrobi się gorąco.|Schowaj to, Biały, albo zrobi się gorąco.|Schowaj to, Biały, bo zrobi się gorąco.
Novigrad Nobleman 01|Sure about that? Ears look a shade pointy to me… So you'd best lay 'em back.|Eternal Fire Guard 02|Cram it, arsewipe.|Eternal Fire Guard 01|Is this necessary? On the road all day and now…?|Czy to aby konieczne? Cały dzień na gościńcu, a teraz...|Czy to naprawdę konieczne? Cały dzień w drodze i teraz...?|Czy to konieczne? Cały dzień w drodze, a teraz...?
Succubus 01|Tell me why not. Is it the scars?|Geralt|You're right. But unlike fiends and chorts, you--|Geralt|I detest when a man smells of blood. You witchers always reek of it. Fiend blood, chort blood - and these are my brethren.|Nie lubię, jak facet śmierdzi krwią. A od was zawsze ją czuć. Krew biesów, czartów. Moich braci.|Nienawidzę, gdy mężczyzna pachnie krwią. Wy czarodzieje zawsze cuchniecie nią. Krwią diabła, krwią chorta - to są moi bracia.|Nienawidzę, kiedy mężczyzna cuchnie krwią. Wy wiedźmini zawsze śmierdzicie nią. Krwią czarta, krwią chorta - a to moi bracia.
Yennefer|What if I don't want to know?|Geralt|||I'm afraid you no longer have a choice.|Teraz już nie masz wyboru.|Obawiam się, że już nie masz wyboru.|Obawiam się, że już nie masz wyboru.
Yennefer|How's your bath? Water warm enough for you?|Yennefer|Don't you dare disembark before disposing of every last siren.|Yennefer|Sea water wreaks havoc on my complexion.|Woda morska źle mi robi na cerę.|Woda morska sieje spustoszenie w mojej cerze.|Woda morska sieje spustoszenie na mojej cerze.
Geralt|Greetings. You're in luck - Ejlof Hotspur's longship made port yesterday, so we've fresh goods.|Skellige Merchant 03|Why does the goddess bring you here?|Skellige Priestess 01|How about you take a break from hawking, we play cards, instead?|A nie chciałbyś odsapnąć od handlu i zagrać ze mną w karty?|Czemu bogini cię tu sprowadziła?|A może zrobisz sobie przerwę od Hawkinga i zagramy w karty?
Novigrad Thug Strong 01|Stake with his name on it was all set up, then that old maid Hemmelfart let him off.|Novigrad Thug Strong 01|Awful pale. Awww, you scared?|Novigrad Thug Strong 01|Hahaha, think I pissed meself!|Ha ha ha, aż się kurwa osmarkałem!|Hahaha, myślę że się posikałem!|Hahaha, chyba zsikałem się!
Skellige Hunter 03|Argh, shut your gobs before someone hears you.|Skellige Villager 02|Strange. Never heard of anythin' similar.|Skellige Hunter 02|Same thing each time - snares sprung, earth trampled, blood, bits o' flesh… But no game in sight.|Wszędzie to samo. Wnyki zatrzaśnięte, zryta ziemia, krew, resztki skóry... A zwierzyny nie ma.|To samo za każdym razem - sidła wystrzelone, ziemia stratowana, krew, strzępy mięsa... Ale żadnej zwierzyny w zasięgu wzroku.|To samo za każdym razem - potrzaski się zatrzaskują, ziemia jest stratowana, krew, kawałki mięsa... Ale ani śladu zwierzyny.
